username,password,source
admin,admin123,common_default
administrator,password,common_default
root,root123,common_default
user,user123,common_default
test,test123,common_default
guest,guest,common_default
john.doe@example.com,Password123!,leaked_db
jane.smith@example.com,Summer2023!,leaked_db
alice.johnson@gmail.com,Welcome123,leaked_db
bob.williams@yahoo.com,Password1,leaked_db
charlie.brown@hotmail.com,Qwerty123,leaked_db
david.lee@outlook.com,123456,leaked_db
emma.davis@gmail.com,Password!,leaked_db
frank.miller@company.com,Admin2023,leaked_db
grace.wilson@email.com,Letmein1,leaked_db
henry.moore@service.com,P@ssw0rd,leaked_db
admin@localhost,admin,brute_force
admin@company.com,password123,brute_force
support@company.com,support123,brute_force
info@company.com,info123,brute_force
contact@company.com,contact123,brute_force
sales@company.com,sales123,brute_force
help@company.com,help123,brute_force
webmaster@company.com,webmaster,brute_force
postmaster@company.com,postmaster,brute_force
service@company.com,service123,brute_force
user001,Password1,enumeration
user002,Password1,enumeration
user003,Password1,enumeration
user004,Password1,enumeration
user005,Password1,enumeration
user006,Password1,enumeration
user007,Password1,enumeration
user008,Password1,enumeration
user009,Password1,enumeration
user010,Password1,enumeration
michael.jackson@music.com,Thriller123,credential_stuffing
sarah.connor@future.com,Skynet123,credential_stuffing
tony.stark@stark.com,IronMan123,credential_stuffing
peter.parker@daily.com,SpiderMan1,credential_stuffing
bruce.wayne@wayne.com,Batman123,credential_stuffing
clark.kent@daily.com,Superman1,credential_stuffing
diana.prince@amazon.com,WonderWoman1,credential_stuffing
barry.allen@flash.com,Flash123,credential_stuffing
hal.jordan@green.com,Lantern123,credential_stuffing
arthur.curry@ocean.com,Aquaman123,credential_stuffing
developer@dev.local,dev123,development
staging@stage.local,stage123,development
production@prod.local,prod123,development
qa@test.local,test123,development
demo@demo.local,demo123,development
sandbox@sandbox.local,sandbox123,development
